entity,crime_rate_2024,chargesheeting_rate,total_crimes_2024
Karnataka,203.3,74.6,138784.0
National Average,211.0,67.0,102922.0
Kerala,513.0,94.5,184528.0
Telangana,497.7,73.8,190704.0
Haryana,368.5,44.3,113101.0
